Title,Location,Description,Price/night,Interior,Amenities,Ratings,Reviews,Features,Normalized Price/night,Normalized Reviews,Guests,Room type,Owner,Avg Feature Rating,Has Washer,Has Dryer
Entire holiday home hosted by Pd,"Mumbai, Maharashtra, India",Juhu Elite Terrace flat 1001,2944,"2 guests, 1 bedroom, 1 double bed, 1 sofa bed, 1 bathroom","City skyline view, Courtyard view, Beach access, Kitchen, Wifi and 39 more",4.7,69,"Cleanliness 4.7, Accuracy 4.8, Communication 4.8, Location 4.8, Check-in 4.8, Value 4.7",0.002944,0.069,2,Entire,Pd,4.77,False,False
Private room in rental unit hosted by Ratan,"Mumbai, Maharashtra, India","Centrally located, cozy studio",1250,"2 guests, 1 bedroom, 1 bed, 1 bathroom","Dedicated workspace, Free parking on premises, Air conditioning, Luggage drop-off allowed, Smoking allowed, Long-term stays allowed, Ceiling fan, Clothes storage: wardrobe and wardrobe and 12 more",4.51,49,"Cleanliness 4.0, Accuracy 4.4, Communication 4.8, Location 4.7, Check-in 4.9, Value 4.5",0.00125,0.049,2,Private,Ratan,4.55,False,False
Entire rental unit hosted by Altia,"Mumbai, Maharashtra, India",Cosy Studio in Bandra West near Hill Road!,3490,"2 guests, Studio, 1 bed, 1 bathroom","Kitchen, Wifi, Free on-street parking, TV with standard cable/satellite, Lift, Air conditioning, Hair dryer, Refrigerator and 28 more",4.64,190,"Cleanliness 4.7, Accuracy 4.7, Communication 4.9, Location 4.7, Check-in 4.9, Value 4.5",0.00349,0.19,2,Entire,Altia,4.73,False,True
Entire serviced apartment hosted by Cozy,"Mumbai, Maharashtra, India",Cozy By The Suburb-Off Hill Road,3320,"2 guests, 1 bedroom, 1 bed, 1 bathroom","City skyline view, Kitchen, Wifi, Dedicated workspace, Free on-street parking, TV, Lift, Air conditioning and 16 more",5.0,13,"Cleanliness 5.0, Accuracy 5.0, Communication 5.0, Location 4.7, Check-in 4.9, Value 4.9",0.00332,0.013,2,Entire,Cozy,4.92,False,False
Entire apartment hosted by Team,"Mumbai, Maharashtra, India",Dido,4450,"2 guests, 1 bedroom, 1 bed, 1 bathroom","Kitchen, Wifi, Free on-street parking, TV, Washing machine, Air conditioning, Hair dryer, Refrigerator, Microwave, Security cameras on property and 25 more",4.71,56,"Cleanliness 4.8, Accuracy 4.7, Communication 4.8, Location 4.7, Check-in 4.8, Value 4.5",0.00445,0.056,2,Entire,Team,4.72,False,True
Entire serviced apartment hosted by Team,"Mumbai, Maharashtra, India",Arial,5165,"2 guests, 1 bedroom, 1 bed, 1 bathroom","Kitchen, Wifi, Free parking on premises, Shared pool, TV, Lift, Washing machine, Air conditioning, Hair dryer, Security cameras on property and 33 more",4.58,19,"Cleanliness 4.7, Accuracy 4.7, Communication 4.6, Location 4.3, Check-in 4.8, Value 4.7",0.005165,0.019,2,Entire,Team,4.63,False,True
Entire rental unit hosted by Zenia Hospitality,"Mumbai, Maharashtra, India",1 BHK in Hiranandani Powai (D),4998,"4 guests, 1 bedroom, 1 bed, 2 bathrooms","Kitchen, Wifi, Dedicated workspace, Free parking on premises, Pool, Pets allowed, TV, Lift, Washing machine and 46 more",4.8,52,"Cleanliness 4.8, Accuracy 4.8, Communication 4.9, Location 4.7, Check-in 4.9, Value 4.7",0.004998,0.052,4,Entire,Zenia Hospitality,4.8,False,False
Entire serviced apartment hosted by Cozy,"Mumbai, Maharashtra, India",Cozy By The Breeze II - 1 BHK Off Carter Road,4250,"3 guests, 1 bedroom, 1 bed, 2 bathrooms","Public or shared beach access, Kitchen, Wifi, Dedicated workspace, Free on-street parking and 28 more",4.86,22,"Cleanliness 4.8, Accuracy 5.0, Communication 5.0, Location 4.8, Check-in 4.9, Value 4.7",0.00425,0.022,3,Entire,Cozy,4.87,False,False
Entire rental unit hosted by Team,"Mumbai, Maharashtra, India",Lilou,4482,"2 guests, 1 bedroom, 1 king bed, 1 bathroom","Kitchen, Wifi, Free on-street parking, TV, Washing machine, Air conditioning, Hair dryer, Refrigerator, Microwave, Long-term stays allowed and 31 more",4.79,100,"Cleanliness 4.7, Accuracy 4.8, Communication 4.9, Location 4.7, Check-in 4.8, Value 4.5",0.004482,0.1,2,Entire,Team,4.73,False,True
Private room in apartment hosted by Natasha,"Mumbai, Maharashtra, India","1 Bedroom with attached Bathroom in Bandra, Mumbai",2000,"2 guests, 1 bedroom, 1 bed, 1 private bathroom","Beach access, Dedicated workspace, Free on-street parking, Pets allowed, Lift, Free washing machine, Air conditioning, Garden and 26 more",4.95,22,"Cleanliness 4.9, Accuracy 5.0, Communication 5.0, Location 5.0, Check-in 5.0, Value 4.9",0.002,0.022,2,Private,Natasha,4.97,False,False
Private room in apartment hosted by Dwayne,"Mumbai, Maharashtra, India",Spacious room w/ private bathroom & balcony,2300,"2 guests, 1 bedroom, 1 bed, 1 private bathroom","Kitchen, Wifi, Dedicated workspace, TV, Lift, Air conditioning, Patio or balcony, Luggage drop-off allowed, Hair dryer and 19 more",4.94,162,"Cleanliness 4.9, Accuracy 4.9, Communication 5.0, Location 4.9, Check-in 5.0, Value 4.9",0.0023,0.162,2,Private,Dwayne,4.93,False,True
Private room in rental unit hosted by Priyanka,"Mumbai, Maharashtra, India",Pyu 's Mon Desire,2436,"1 guest, Studio, 1 bed, 1 private bathroom","Bay view, Ocean view, Sea view, Kitchen, Wifi, Free parking on premises, Lift, Bath and 26 more",5.0,5,"Cleanliness 5.0, Accuracy 5.0, Communication 5.0, Location 5.0, Check-in 5.0, Value 5.0",0.002436,0.005,1,Private,Priyanka,5.0,False,False
Entire serviced apartment hosted by Pocket Friendly,"Mumbai, Maharashtra, India",Lucy,3186,"2 guests, 1 bedroom, 1 bed, 1 bathroom","Kitchen, Wifi, TV, Air conditioning, Hair dryer, Refrigerator, Essentials, Security cameras on property and 19 more",4.73,11,"Cleanliness 4.7, Accuracy 4.9, Communication 4.7, Location 4.7, Check-in 4.9, Value 4.7",0.003186,0.011,2,Entire,Pocket Friendly,4.77,False,True
Entire cottage hosted by Tasneem,"Mumbai, Maharashtra, India",beach house - truly embrace your solitude,1709,"4 guests, Studio, 4 beds, 1 bathroom","Beach access  Beachfront, Kitchen, Wifi, Dedicated workspace, Free parking on premises, Private patio or balcony, Garden, Security cameras on property and 46 more",4.7,88,"Cleanliness 4.7, Accuracy 4.7, Communication 4.9, Location 4.7, Check-in 4.8, Value 4.5",0.001709,0.088,4,Entire,Tasneem,4.72,False,False
Private room in bed and breakfast hosted by Nrupen,"Mumbai, Maharashtra, India",Bed and breakfast near beach & famous landmarks,2700,"1 guest, 1 bedroom, Step-free access, 1.5 bathrooms","Beach access, Kitchen, Wifi, Dedicated workspace, Free on-street parking, TV, Lift, Free washer  In unit and 57 more",5.0,32,"Cleanliness 5.0, Accuracy 4.9, Communication 5.0, Location 5.0, Check-in 5.0, Value 5.0",0.0027,0.032,1,Private,Nrupen,4.98,True,False
Private room in apartment hosted by Akram Ali,"Mumbai, Maharashtra, India",Blissville~Sea View|High Rise: Private Room+Wifi,3360,"2 guests, 1 bedroom, 1 queen bed, 1.5 bathrooms","Mountain view, Pool view, Beach access  Beachfront, Kitchen, Fast wifi  114 Mbps, Free on-street parking, Lift, Free washer  In unit and 44 more",4.96,23,"Cleanliness 5.0, Accuracy 4.8, Communication 5.0, Location 4.7, Check-in 5.0, Value 4.7",0.00336,0.023,2,Private,Akram Ali,4.87,True,False
Entire apartment hosted by Harshal,"Mumbai, Maharashtra, India",Spacious 1 BHK with a Lakefront View,2600,"2 guests, 1 bedroom, 1 double bed, 1 sofa, 1 floor mattress, 1.5 bathrooms","Lake access, Waterfront, Kitchen, Wifi, Dedicated workspace and 39 more",4.8,1,"Cleanliness 4.8, Accuracy 4.8, Communication 4.9, Location 4.7, Check-in 4.9, Value 4.7",0.0026,0.001,2,Entire,Harshal,4.8,False,False
Private room in rental unit hosted by Madhu,"Mumbai, Maharashtra, India",Modern bedroom 5mins from Airport,1838,"2 guests, 1 bedroom, 1 bed, 1 private bathroom","Courtyard view, Beach access, Wifi, Free on-street parking, 27"" TV with Amazon Prime Video, standard cable/satellite, Lift, Paid washer  In unit, AC  split-type ductless system and 33 more",4.94,83,"Cleanliness 4.9, Accuracy 4.9, Communication 5.0, Location 4.9, Check-in 5.0, Value 4.9",0.001838,0.083,2,Private,Madhu,4.93,True,False
Private room in guest suite hosted by Ritwik,"Mumbai, Maharashtra, India",Roy 's Attic,2067,"2 guests, 1 bedroom, 1 bed, 1 private bathroom","Kitchen, Wifi, Dedicated workspace, AC  split-type ductless system, Security cameras on property and 10 more",5.0,7,"Cleanliness 4.9, Accuracy 5.0, Communication 5.0, Location 5.0, Check-in 5.0, Value 4.9",0.002067,0.007,2,Private,Ritwik,4.97,False,False
Private room in apartment hosted by Nidhisha,"Mumbai, Maharashtra, India",Ensuite Private Room in the heart of Colaba!,4250,"2 guests, 1 bedroom, 1 bed, 1 private bathroom","Kitchen, Wifi, Free on-street parking, TV, Washing machine, Air conditioning, Hair dryer, Security cameras on property and 15 more",4.97,35,"Cleanliness 4.9, Accuracy 4.8, Communication 5.0, Location 4.8, Check-in 5.0, Value 4.8",0.00425,0.035,2,Private,Nidhisha,4.88,False,True
Entire rental unit hosted by Zenia Hospitality,"Mumbai, Maharashtra, India",1 BHK in Hiranandani Powai (C),5400,"4 guests, 1 bedroom, 1 bed, 2 bathrooms","Kitchen, Wifi, Dedicated workspace, Free parking on premises, Pool and 46 more",4.8,52,"Cleanliness 4.8, Accuracy 4.8, Communication 4.9, Location 4.7, Check-in 4.9, Value 4.7",0.0054,0.052,4,Entire,Zenia Hospitality,4.8,False,False
Private room in rental unit hosted by Priyanka,"Mumbai, Maharashtra, India",Pyu 's Mon Desire,2436,"1 guest, Studio, 1 bed, 1 private bathroom","Bay view, Ocean view, Kitchen, Wifi, Free parking on premises, Lift, Bath, Hair dryer and 26 more",5.0,5,"Cleanliness 5.0, Accuracy 5.0, Communication 5.0, Location 5.0, Check-in 5.0, Value 5.0",0.002436,0.005,1,Private,Priyanka,5.0,False,True
Private room in rental unit hosted by Faiyaz,"Mumbai, Maharashtra, India","Luxury spacious room at Hill Road, Bandra West",3500,"2 guests, 1 bedroom, 1 bed, 1 private bathroom","Kitchen, Wifi, Pets allowed, TV with standard cable/satellite, Lift and 26 more",4.7,132,"Cleanliness 4.8, Accuracy 4.8, Communication 4.7, Location 4.9, Check-in 4.8, Value 4.6",0.0035,0.132,2,Private,Faiyaz,4.77,False,False
Entire serviced apartment hosted by Team,"Mumbai, Maharashtra, India",Modena,5099,"2 guests, 1 bedroom, 1 bed, 1 bathroom","Kitchen, Wifi, Free parking on premises, Pool, TV, Lift, Washing machine, Air conditioning, Hair dryer, Security cameras on property and 43 more",4.5,32,"Cleanliness 4.2, Accuracy 4.7, Communication 4.8, Location 4.1, Check-in 4.7, Value 4.5",0.005099,0.032,2,Entire,Team,4.5,False,True
Entire serviced apartment hosted by Team,"Mumbai, Maharashtra, India",Sofia,5471,"2 guests, 1 bedroom, 1 bed, 1 bathroom","Kitchen, Wifi, Dedicated workspace, Free on-street parking, HDTV with Amazon Prime Video, Fire TV, Netflix, Free washer  In unit, Air conditioning, Security cameras on property and 41 more",4.5,14,"Cleanliness 4.6, Accuracy 4.8, Communication 4.6, Location 4.4, Check-in 4.9, Value 4.4",0.005471,0.014,2,Entire,Team,4.62,True,False
Entire rental unit hosted by Sahil,"Mumbai, Maharashtra, India",Bom-bae,3230,"4 guests, 2 bedrooms, 2 beds, 2 bathrooms","Kitchen, Fast wifi  82 Mbps, Dedicated workspace, Free parking on premises, Pets allowed, TV, Washing machine, Air conditioning, Security cameras on property and 15 more",4.8,1,"Cleanliness 4.8, Accuracy 4.8, Communication 4.9, Location 4.7, Check-in 4.9, Value 4.7",0.00323,0.001,4,Entire,Sahil,4.8,False,False
Private room in rental unit hosted by Kasper,"Mumbai, Maharashtra, India",1Private Bedroom in 2bhk Good Vibes Only apartment,2142,"2 guests, 1 bedroom, 1 queen bed, 1 private bathroom","City skyline view, Kitchen, Fast wifi  246 Mbps, Free parking on premises, 50"" HDTV with Amazon Prime Video, Disney+, Netflix, Lift, Free washer  In unit, Free dryer  In unit, AC  split-type ductless system and 51 more",4.77,35,"Cleanliness 4.9, Accuracy 4.8, Communication 4.8, Location 4.5, Check-in 4.8, Value 4.5",0.002142,0.035,2,Private,Kasper,4.72,True,True
Private room in apartment hosted by Nidhisha,"Mumbai, Maharashtra, India",Private Twin Room with attached Bath in Colaba!,4190,"2 guests, 1 bedroom, 2 beds, 1 private bathroom","Kitchen, Wifi, Free on-street parking, HDTV with Amazon Prime Video, standard cable/satellite, Washing machine and 31 more",4.83,47,"Cleanliness 4.8, Accuracy 4.9, Communication 4.9, Location 4.7, Check-in 4.8, Value 4.7",0.00419,0.047,2,Private,Nidhisha,4.8,False,False
Entire rental unit hosted by Nidhisha,"Mumbai, Maharashtra, India",Spacious studio in Bandra W!,3290,"2 guests, 1 bedroom, 1 bed, 1 bathroom","Kitchen, Wifi, TV, Air conditioning, Hair dryer, Refrigerator, Microwave, Long-term stays allowed and 27 more",4.8,52,"Cleanliness 4.8, Accuracy 4.8, Communication 4.9, Location 4.7, Check-in 4.9, Value 4.7",0.00329,0.052,2,Entire,Nidhisha,4.8,False,True
Private room in rental unit hosted by Nalini,"Mumbai, Maharashtra, India",Accommodation for 1 or 2 at VeeraDesaiRd-Andheri-W,1200,"2 guests, 1 bedroom, 2 beds, 1 private bathroom","Wifi, Dedicated workspace, TV, Lift, Air conditioning, Bath, Luggage drop-off allowed, Refrigerator and 22 more",4.74,27,"Cleanliness 4.5, Accuracy 4.7, Communication 4.7, Location 4.8, Check-in 4.7, Value 4.4",0.0012,0.027,2,Private,Nalini,4.63,False,False
Entire rental unit hosted by Ruchika,"Mumbai, Maharashtra, India","Flat 601, Rizvi Mahal, Waterfield Road, Bandra W",3700,"2 guests, 1 bedroom, 1 bed, 1.5 bathrooms","Kitchen, Wifi, Free on-street parking, 32"" HDTV with cable/satellite TV, Air conditioning, Refrigerator, Microwave and 22 more",4.96,23,"Cleanliness 4.8, Accuracy 4.8, Communication 4.9, Location 4.7, Check-in 4.9, Value 4.7",0.0037,0.023,2,Entire,Ruchika,4.8,False,False
Entire rental unit hosted by Team,"Mumbai, Maharashtra, India",Alcove,5184,"2 guests, 1 bedroom, 1 bed, 1 bathroom","Kitchen, Wifi, Dedicated workspace, Free on-street parking, TV, Washing machine, Dryer, Air conditioning, Hair dryer, Refrigerator and 25 more",4.91,44,"Cleanliness 4.8, Accuracy 4.9, Communication 5.0, Location 4.9, Check-in 5.0, Value 4.8",0.005184,0.044,2,Entire,Team,4.9,False,True
Entire serviced apartment hosted by Wabi,"Mumbai, Maharashtra, India",C-Studio Apartment in Juhu - Wabi Sabi,4400,"2 guests, 1 bedroom, 1 bed, 1 bathroom","Kitchen, Wifi, Free on-street parking, TV, Lift and 32 more",4.6,63,"Cleanliness 4.6, Accuracy 4.7, Communication 4.8, Location 4.7, Check-in 4.9, Value 4.5",0.0044,0.063,2,Entire,Wabi,4.7,False,False
Private room in bed and breakfast hosted by Archana,"Mumbai, Maharashtra, India","Elite Homes 3, Andheri - East",2800,"2 guests, 1 bedroom, 1 queen bed, 1 private bathroom","Wifi, Dedicated workspace, Free parking on premises, Pets allowed, TV and 22 more",4.54,56,"Cleanliness 4.8, Accuracy 4.5, Communication 4.7, Location 4.3, Check-in 4.6, Value 4.5",0.0028,0.056,2,Private,Archana,4.57,False,False
Private room in rental unit hosted by Sunil,"Mumbai, Maharashtra, India","Sea Facing Private Room in Versova, Andheri West",2670,"2 guests, 1 bedroom, 1 queen bed, 1 private bathroom","Sea view, Beach access  Beachfront, Kitchen, Wifi, Free on-street parking and 34 more",4.82,87,"Cleanliness 4.7, Accuracy 4.8, Communication 4.8, Location 4.9, Check-in 4.9, Value 4.7",0.00267,0.087,2,Private,Sunil,4.8,False,False
Entire rental unit hosted by Nidhisha,"Mumbai, Maharashtra, India",Homely & Spacious Studio in Colaba!,7190,"4 guests, Studio, 1 sofa bed, 1 bathroom","Kitchen, Wifi, Free on-street parking, TV with standard cable/satellite, Washing machine and 27 more",4.85,55,"Cleanliness 4.9, Accuracy 4.8, Communication 5.0, Location 4.8, Check-in 5.0, Value 4.7",0.00719,0.055,4,Entire,Nidhisha,4.87,False,False
Private room in apartment hosted by Akram Ali,"Mumbai, Maharashtra, India",Blissville~Sea View|High Rise: Private Room+Wifi,3360,"2 guests, 1 bedroom, 1 queen bed, 1.5 bathrooms","Beach access  Beachfront, Waterfront, Mountain view, Pool view, City skyline view and 44 more",4.96,23,"Cleanliness 5.0, Accuracy 4.8, Communication 5.0, Location 4.7, Check-in 5.0, Value 4.7",0.00336,0.023,2,Private,Akram Ali,4.87,False,False
Entire serviced apartment hosted by Pocket Friendly,"Mumbai, Maharashtra, India",Robin,3061,"2 guests, 1 bedroom, 1 bed, 1 bathroom","Kitchen, Wifi, TV, Air conditioning, Hair dryer, Refrigerator, Microwave, Security cameras on property and 22 more",4.62,21,"Cleanliness 4.8, Accuracy 4.7, Communication 4.8, Location 4.2, Check-in 4.9, Value 4.3",0.003061,0.021,2,Entire,Pocket Friendly,4.62,False,True
Private room in guest suite hosted by Ritwik,"Mumbai, Maharashtra, India",Roy 's Attic,2067,"2 guests, 1 bedroom, 1 bed, 1 private bathroom","Kitchen, Wifi, Dedicated workspace, AC  split-type ductless system, Essentials and 10 more",5.0,7,"Cleanliness 4.9, Accuracy 5.0, Communication 5.0, Location 5.0, Check-in 5.0, Value 4.9",0.002067,0.007,2,Private,Ritwik,4.97,False,False
Entire serviced apartment hosted by Eshan,"Mumbai, Maharashtra, India", Slick - Studio Apartment ,3499,"2 guests, Studio, 1 bed, 1 bathroom","Kitchen, Wifi, Dedicated workspace, TV with standard cable/satellite, Lift, Air conditioning, Hair dryer, Security cameras on property and 32 more",4.76,21,"Cleanliness 4.7, Accuracy 4.8, Communication 4.7, Location 4.7, Check-in 4.9, Value 4.3",0.003499,0.021,2,Entire,Eshan,4.68,False,True
Private room in serviced apartment hosted by Team,"Mumbai, Maharashtra, India",Montana C (Shared Apartment),4896,"2 guests, 1 bedroom, 1 bed, 1 bathroom","Kitchen, Wifi, Dedicated workspace, Free on-street parking, TV and 35 more",4.63,16,"Cleanliness 4.6, Accuracy 4.7, Communication 4.9, Location 4.8, Check-in 4.8, Value 4.5",0.004896,0.016,2,Private,Team,4.72,False,False
Entire rental unit hosted by Prakash,"Mumbai, Maharashtra, India",Cozy Independent Studio Apartment,2300,"1 guest, 1 bedroom, 1 bed, 1 bathroom","Kitchen, Fast wifi  86 Mbps, Dedicated workspace, Free on-street parking, Air conditioning, Hair dryer, Refrigerator, Microwave and 16 more",4.78,28,"Cleanliness 4.6, Accuracy 4.8, Communication 4.9, Location 4.6, Check-in 4.9, Value 4.6",0.0023,0.028,1,Entire,Prakash,4.73,False,True
Entire serviced apartment hosted by Team,"Mumbai, Maharashtra, India",Nino,5392,"2 guests, 1 bedroom, 1 bed, 1 bathroom","Kitchen, Wifi, Dedicated workspace, TV, Washing machine and 20 more",4.84,31,"Cleanliness 4.8, Accuracy 4.9, Communication 4.9, Location 4.7, Check-in 4.9, Value 4.5",0.005392,0.031,2,Entire,Team,4.78,False,False
Private room in bungalow hosted by Chadwayne,"Mumbai, Maharashtra, India",Bedroom at Delphi Bungalow,3000,"2 guests, 1 bedroom, 1 bed, 1 private bathroom","Garden view, Wifi, Dedicated workspace, Air conditioning, Private patio or balcony and 32 more",4.93,86,"Cleanliness 5.0, Accuracy 4.9, Communication 4.9, Location 4.8, Check-in 4.9, Value 4.8",0.003,0.086,2,Private,Chadwayne,4.88,False,False
Entire apartment hosted by Phoenix Hospitality,"Mumbai, Maharashtra, India",AC Studio Apartment with TV,3500,"2 guests, 1 bedroom, 1 bed, 1 bathroom","Kitchen, Wifi, Dedicated workspace, 38"" TV with standard cable/satellite, Window AC unit and 21 more",4.33,9,"Cleanliness 4.2, Accuracy 4.2, Communication 4.6, Location 4.4, Check-in 4.1, Value 3.8",0.0035,0.009,2,Entire,Phoenix Hospitality,4.22,False,False
Entire serviced apartment hosted by Cozy,"Mumbai, Maharashtra, India",Cozy by the Village(Near Lilavati Hospital),3578,"4 guests, 1 bedroom, 1 bed, 1 bathroom","Kitchen, Wifi, Dedicated workspace, TV with standard cable/satellite, Air conditioning, Bath, Luggage drop-off allowed, Hair dryer and 22 more",5.0,16,"Cleanliness 4.9, Accuracy 4.8, Communication 4.8, Location 4.8, Check-in 4.8, Value 4.8",0.003578,0.016,4,Entire,Cozy,4.82,False,True
Entire rental unit hosted by Raviraj,"Mumbai, Maharashtra, India",\~UniqueStay with a View@Heart Of Mumbai~/,4050,"4 guests, 1 bedroom, 1 single bed, 1.5 bathrooms","City skyline view, Sea view, Beach access, Kitchen, Wifi and 36 more",4.88,145,"Cleanliness 4.8, Accuracy 4.9, Communication 4.9, Location 4.9, Check-in 4.9, Value 4.8",0.00405,0.145,4,Entire,Raviraj,4.87,False,False
Private room in serviced apartment hosted by Team,"Mumbai, Maharashtra, India",Mezzo Room A (Shared Apartment),4896,"2 guests, 1 bedroom, 1 bed, 1 bathroom","Kitchen, Wifi, TV, Lift, Washing machine and 31 more",4.75,20,"Cleanliness 4.8, Accuracy 4.8, Communication 4.8, Location 4.7, Check-in 4.8, Value 4.7",0.004896,0.02,2,Private,Team,4.77,False,False
Private room in apartment hosted by Nidhisha,"Mumbai, Maharashtra, India",Private Spacious Suite Room in Colaba!,5990,"4 guests, 1 bedroom, 3 beds, 1 private bathroom","Kitchen, Wifi, Free on-street parking, TV, Washing machine and 33 more",4.72,61,"Cleanliness 4.8, Accuracy 4.8, Communication 4.9, Location 4.7, Check-in 4.9, Value 4.7",0.00599,0.061,4,Private,Nidhisha,4.8,False,False
Private room in bed and breakfast hosted by Nrupen,"Mumbai, Maharashtra, India",Bed and breakfast near beach & famous landmarks,2700,"1 guest, 1 bedroom, Step-free access, 1.5 bathrooms","Beach access, Kitchen, Wifi, Dedicated workspace, Free on-street parking and 57 more",5.0,32,"Cleanliness 5.0, Accuracy 4.9, Communication 5.0, Location 5.0, Check-in 5.0, Value 5.0",0.0027,0.032,1,Private,Nrupen,4.98,False,False
Entire serviced apartment hosted by Wabi,"Mumbai, Maharashtra, India",C-Studio Apartment in Juhu - Wabi Sabi,4400,"2 guests, 1 bedroom, 1 bed, 1 bathroom","Kitchen, Wifi, Free on-street parking, TV, Lift, Washing machine, Air conditioning, Security cameras on property and 32 more",4.6,63,"Cleanliness 4.6, Accuracy 4.7, Communication 4.8, Location 4.7, Check-in 4.9, Value 4.5",0.0044,0.063,2,Entire,Wabi,4.7,False,False
